"SA2_CODE16","seifa_decile","seifa_percentile","seifa_quintile","ra","ra_name"
305041136,10,95,5,0,"Major Cities of Australia"
305041137,10,95,5,0,"Major Cities of Australia"
306011138,9,81,5,2,"Outer Regional Australia"
306011139,7,68,4,2,"Outer Regional Australia"
306011140,8,75,4,2,"Outer Regional Australia"
306011141,8,79,4,2,"Outer Regional Australia"
306011142,7,67,4,2,"Outer Regional Australia"
306011143,4,37,2,2,"Outer Regional Australia"
306021144,4,36,2,2,"Outer Regional Australia"
306021145,5,41,3,2,"Outer Regional Australia"
306021146,5,43,3,2,"Outer Regional Australia"
306021147,3,26,2,2,"Outer Regional Australia"
306021148,4,39,2,2,"Outer Regional Australia"
306021149,5,46,3,2,"Outer Regional Australia"
306021150,NA,NA,NA,2,"Outer Regional Australia"
306021151,1,3,1,2,"Outer Regional Australia"
306021152,1,4,1,2,"Outer Regional Australia"
306021153,6,54,3,2,"Outer Regional Australia"
306021154,1,8,1,2,"Outer Regional Australia"
306021155,2,17,1,2,"Outer Regional Australia"
306021156,7,62,4,2,"Outer Regional Australia"
306021157,1,7,1,2,"Outer Regional Australia"
306031158,4,31,2,2,"Outer Regional Australia"
306031159,1,8,1,2,"Outer Regional Australia"
306031160,3,27,2,2,"Outer Regional Australia"
306031161,3,21,2,2,"Outer Regional Australia"
306031162,NA,NA,NA,2,"Outer Regional Australia"
306031163,1,1,1,2,"Outer Regional Australia"
306041164,3,24,2,2,"Outer Regional Australia"
306041165,6,53,3,2,"Outer Regional Australia"
306051166,3,29,2,2,"Outer Regional Australia"
306051167,1,6,1,2,"Outer Regional Australia"
306051168,5,41,3,2,"Outer Regional Australia"
306051169,5,42,3,2,"Outer Regional Australia"
306051170,2,15,1,2,"Outer Regional Australia"
307011171,4,38,2,3,"Remote Australia"
307011172,4,33,2,2,"Outer Regional Australia"
307011173,5,42,3,2,"Outer Regional Australia"
307011174,3,26,2,2,"Outer Regional Australia"
307011175,4,39,2,2,"Outer Regional Australia"
307011176,5,45,3,2,"Outer Regional Australia"
307011177,5,48,3,3,"Remote Australia"
307011178,1,7,1,2,"Outer Regional Australia"
307021179,3,26,2,1,"Inner Regional Australia"
307021180,3,26,2,1,"Inner Regional Australia"
307021181,3,21,2,2,"Outer Regional Australia"
307021182,4,40,2,1,"Inner Regional Australia"
307021183,4,34,2,1,"Inner Regional Australia"
307031184,5,42,3,1,"Inner Regional Australia"
307031185,4,37,2,1,"Inner Regional Australia"
307031186,3,30,2,1,"Inner Regional Australia"
307031187,2,12,1,2,"Outer Regional Australia"
307031188,3,29,2,2,"Outer Regional Australia"
307031189,2,13,1,1,"Inner Regional Australia"
308011190,2,20,1,2,"Outer Regional Australia"
308011191,5,43,3,3,"Remote Australia"
308011192,6,53,3,2,"Outer Regional Australia"
308031205,1,6,1,1,"Inner Regional Australia"
308031206,4,31,2,1,"Inner Regional Australia"
308031207,3,23,2,1,"Inner Regional Australia"
308031208,5,47,3,1,"Inner Regional Australia"
308031209,8,75,4,1,"Inner Regional Australia"
308031210,3,28,2,1,"Inner Regional Australia"
308031211,1,10,1,1,"Inner Regional Australia"
308031212,1,2,1,1,"Inner Regional Australia"
308031213,6,51,3,1,"Inner Regional Australia"
308031214,2,11,1,1,"Inner Regional Australia"
308031215,3,28,2,1,"Inner Regional Australia"
308031216,3,24,2,1,"Inner Regional Australia"
308031217,1,4,1,1,"Inner Regional Australia"
308031218,4,39,2,1,"Inner Regional Australia"
308031219,4,40,2,1,"Inner Regional Australia"
308031220,5,49,3,1,"Inner Regional Australia"
308031221,NA,NA,NA,2,"Outer Regional Australia"
308031222,6,51,3,1,"Inner Regional Australia"
308031223,5,43,3,1,"Inner Regional Australia"
308041528,5,44,3,2,"Outer Regional Australia"
308041529,4,40,2,2,"Outer Regional Australia"
308051530,2,15,1,2,"Outer Regional Australia"
308051531,6,54,3,1,"Inner Regional Australia"
308051532,NA,NA,NA,1,"Inner Regional Australia"
308051533,5,45,3,1,"Inner Regional Australia"
308051534,2,19,1,1,"Inner Regional Australia"
308051535,5,44,3,1,"Inner Regional Australia"
308051536,4,36,2,1,"Inner Regional Australia"
308051537,NA,NA,NA,1,"Inner Regional Australia"
308051538,5,49,3,1,"Inner Regional Australia"
308051539,3,22,2,1,"Inner Regional Australia"
309011224,9,84,5,0,"Major Cities of Australia"
309011225,7,66,4,0,"Major Cities of Australia"
309011226,7,65,4,0,"Major Cities of Australia"
309011227,7,66,4,0,"Major Cities of Australia"
309011228,7,64,4,0,"Major Cities of Australia"
309011229,7,65,4,0,"Major Cities of Australia"
309021230,4,38,2,0,"Major Cities of Australia"
309021231,6,55,3,0,"Major Cities of Australia"
309021232,6,52,3,0,"Major Cities of Australia"
309021233,6,59,3,0,"Major Cities of Australia"
309021234,6,52,3,0,"Major Cities of Australia"
309031235,6,59,3,0,"Major Cities of Australia"
309031236,5,44,3,0,"Major Cities of Australia"
309031237,3,24,2,0,"Major Cities of Australia"
309031238,3,23,2,0,"Major Cities of Australia"
309031239,8,78,4,0,"Major Cities of Australia"
309031240,7,66,4,0,"Major Cities of Australia"
309041241,7,65,4,1,"Inner Regional Australia"
309041242,7,67,4,0,"Major Cities of Australia"
309051243,8,80,4,0,"Major Cities of Australia"
309051244,8,74,4,0,"Major Cities of Australia"
309051245,9,82,5,0,"Major Cities of Australia"
309061246,6,57,3,0,"Major Cities of Australia"
309061247,5,48,3,0,"Major Cities of Australia"
309061248,4,38,2,0,"Major Cities of Australia"
309061249,7,63,4,0,"Major Cities of Australia"
309061250,8,79,4,0,"Major Cities of Australia"
309071251,7,63,4,0,"Major Cities of Australia"
309071252,8,71,4,0,"Major Cities of Australia"
309071253,9,88,5,0,"Major Cities of Australia"
309071254,5,48,3,0,"Major Cities of Australia"
309071255,7,69,4,0,"Major Cities of Australia"
309071256,7,63,4,0,"Major Cities of Australia"
309071257,5,44,3,0,"Major Cities of Australia"
309071258,6,60,3,0,"Major Cities of Australia"
309081259,9,86,5,0,"Major Cities of Australia"
309081260,5,47,3,0,"Major Cities of Australia"
309081261,8,73,4,0,"Major Cities of Australia"
309081262,6,58,3,0,"Major Cities of Australia"
309091263,6,57,3,0,"Major Cities of Australia"
309091264,6,56,3,0,"Major Cities of Australia"
309091265,7,68,4,0,"Major Cities of Australia"
309091540,3,30,2,0,"Major Cities of Australia"
309091541,5,45,3,0,"Major Cities of Australia"
309101267,9,84,5,0,"Major Cities of Australia"
309101268,9,87,5,0,"Major Cities of Australia"
309101269,9,83,5,0,"Major Cities of Australia"
309101270,5,47,3,0,"Major Cities of Australia"
310011271,4,36,2,0,"Major Cities of Australia"
310011272,3,25,2,0,"Major Cities of Australia"
310011273,7,61,4,0,"Major Cities of Australia"
310011274,1,3,1,0,"Major Cities of Australia"
310011275,8,78,4,0,"Major Cities of Australia"
310011276,1,2,1,0,"Major Cities of Australia"
310021277,4,39,2,1,"Inner Regional Australia"
310021278,2,16,1,1,"Inner Regional Australia"
310021279,NA,NA,NA,1,"Inner Regional Australia"
310021280,2,19,1,1,"Inner Regional Australia"
310021281,2,20,1,1,"Inner Regional Australia"
310021282,4,34,2,1,"Inner Regional Australia"
310031283,3,24,2,0,"Major Cities of Australia"
310031284,2,13,1,0,"Major Cities of Australia"
310031285,4,36,2,0,"Major Cities of Australia"
310031286,3,27,2,0,"Major Cities of Australia"
310031287,2,15,1,0,"Major Cities of Australia"
310031288,7,70,4,0,"Major Cities of Australia"
310031289,9,84,5,0,"Major Cities of Australia"
310031290,9,90,5,0,"Major Cities of Australia"
310031291,1,4,1,0,"Major Cities of Australia"
310031292,2,14,1,0,"Major Cities of Australia"
310031293,4,32,2,0,"Major Cities of Australia"
310031294,8,72,4,0,"Major Cities of Australia"
310031295,1,3,1,0,"Major Cities of Australia"
310041296,8,75,4,0,"Major Cities of Australia"
310041297,4,35,2,0,"Major Cities of Australia"
310041298,NA,NA,NA,0,"Major Cities of Australia"
310041299,3,29,2,0,"Major Cities of Australia"
310041300,1,7,1,0,"Major Cities of Australia"
310041301,NA,NA,NA,0,"Major Cities of Australia"
310041302,2,15,1,0,"Major Cities of Australia"
310041303,6,57,3,0,"Major Cities of Australia"
310041304,8,76,4,0,"Major Cities of Australia"
311011305,2,17,1,1,"Inner Regional Australia"
311021306,1,6,1,0,"Major Cities of Australia"
311021307,1,5,1,0,"Major Cities of Australia"
311021308,4,35,2,0,"Major Cities of Australia"
311021309,4,34,2,0,"Major Cities of Australia"
311021310,7,65,4,0,"Major Cities of Australia"
311031311,3,22,2,0,"Major Cities of Australia"
311031312,2,18,1,0,"Major Cities of Australia"
311031313,5,46,3,0,"Major Cities of Australia"
311031314,1,9,1,0,"Major Cities of Australia"
311031315,NA,NA,NA,0,"Major Cities of Australia"
311031316,5,45,3,0,"Major Cities of Australia"
311031317,1,8,1,0,"Major Cities of Australia"
311031318,6,60,3,0,"Major Cities of Australia"
311031319,5,44,3,0,"Major Cities of Australia"
311041320,7,68,4,0,"Major Cities of Australia"
311041321,6,54,3,1,"Inner Regional Australia"
311041322,6,59,3,0,"Major Cities of Australia"
311051323,3,25,2,0,"Major Cities of Australia"
311051324,9,83,5,0,"Major Cities of Australia"
311051325,6,52,3,0,"Major Cities of Australia"
311051326,2,11,1,0,"Major Cities of Australia"
311051327,8,78,4,0,"Major Cities of Australia"
311051328,1,10,1,0,"Major Cities of Australia"
311061329,8,74,4,0,"Major Cities of Australia"
311061330,1,4,1,0,"Major Cities of Australia"
311061331,1,2,1,0,"Major Cities of Australia"
311061332,7,67,4,0,"Major Cities of Australia"
311061333,1,9,1,0,"Major Cities of Australia"
311061334,7,64,4,0,"Major Cities of Australia"
311061335,8,72,4,0,"Major Cities of Australia"
311061336,1,3,1,0,"Major Cities of Australia"
312011337,2,13,1,2,"Outer Regional Australia"
312011338,4,38,2,2,"Outer Regional Australia"
312011339,5,49,3,3,"Remote Australia"
312011340,2,18,1,3,"Remote Australia"
312011341,6,60,3,2,"Outer Regional Australia"
312021342,4,35,2,1,"Inner Regional Australia"
312021343,4,33,2,1,"Inner Regional Australia"
312021344,6,59,3,1,"Inner Regional Australia"
312021345,NA,NA,NA,2,"Outer Regional Australia"
312021346,1,10,1,1,"Inner Regional Australia"
312021347,9,86,5,1,"Inner Regional Australia"
312021348,7,70,4,1,"Inner Regional Australia"
312021349,2,17,1,1,"Inner Regional Australia"
312021350,6,52,3,1,"Inner Regional Australia"
312021351,5,42,3,2,"Outer Regional Australia"
312021352,3,27,2,2,"Outer Regional Australia"
312021353,5,41,3,2,"Outer Regional Australia"
312021354,5,47,3,1,"Inner Regional Australia"
312021355,2,18,1,1,"Inner Regional Australia"
312021356,2,14,1,1,"Inner Regional Australia"
312021357,6,51,3,2,"Outer Regional Australia"
312021358,4,36,2,1,"Inner Regional Australia"
312031359,5,49,3,2,"Outer Regional Australia"
312031360,NA,NA,NA,2,"Outer Regional Australia"
312031361,4,32,2,2,"Outer Regional Australia"
313011362,3,25,2,0,"Major Cities of Australia"
313011363,3,23,2,1,"Inner Regional Australia"
313021364,8,71,4,0,"Major Cities of Australia"
313021365,1,10,1,0,"Major Cities of Australia"
313021366,1,9,1,0,"Major Cities of Australia"
313021367,6,56,3,0,"Major Cities of Australia"
313021368,2,18,1,0,"Major Cities of Australia"
313021369,7,62,4,0,"Major Cities of Australia"
313031370,2,19,1,1,"Inner Regional Australia"
313031371,4,37,2,1,"Inner Regional Australia"
313041372,5,42,3,0,"Major Cities of Australia"
313041373,2,11,1,0,"Major Cities of Australia"
313041374,7,69,4,0,"Major Cities of Australia"
313041375,7,68,4,0,"Major Cities of Australia"
313041376,7,67,4,0,"Major Cities of Australia"
313051377,4,32,2,0,"Major Cities of Australia"
313051378,3,25,2,0,"Major Cities of Australia"
313051379,3,21,2,0,"Major Cities of Australia"
313051380,3,22,2,0,"Major Cities of Australia"
313051542,7,62,4,0,"Major Cities of Australia"
314011382,9,87,5,0,"Major Cities of Australia"
314011383,9,88,5,0,"Major Cities of Australia"
314011384,9,87,5,1,"Inner Regional Australia"
314011385,10,95,5,0,"Major Cities of Australia"
314011386,9,86,5,0,"Major Cities of Australia"
314011387,10,97,5,0,"Major Cities of Australia"
314021388,3,30,2,0,"Major Cities of Australia"
314021389,7,66,4,0,"Major Cities of Australia"
314021390,8,75,4,0,"Major Cities of Australia"
314031391,5,41,3,0,"Major Cities of Australia"
314031392,4,31,2,0,"Major Cities of Australia"
314031393,6,55,3,0,"Major Cities of Australia"
314031394,3,29,2,0,"Major Cities of Australia"
315011395,1,1,1,4,"Very Remote Australia"
315011396,1,3,1,3,"Remote Australia"
315011397,3,21,2,4,"Very Remote Australia"
315011398,1,1,1,4,"Very Remote Australia"
315011399,1,2,1,4,"Very Remote Australia"
315011400,3,25,2,2,"Outer Regional Australia"
315011401,3,26,2,4,"Very Remote Australia"
315011402,1,1,1,4,"Very Remote Australia"
315011403,8,76,4,4,"Very Remote Australia"
315021404,1,2,1,4,"Very Remote Australia"
315021405,5,43,3,3,"Remote Australia"
315021406,3,30,2,3,"Remote Australia"
315021407,4,38,2,4,"Very Remote Australia"
315031408,4,37,2,4,"Very Remote Australia"
315031409,3,27,2,4,"Very Remote Australia"
315031410,3,28,2,4,"Very Remote Australia"
315031411,3,23,2,4,"Very Remote Australia"
315031412,5,46,3,4,"Very Remote Australia"
316011413,8,71,4,0,"Major Cities of Australia"
316011414,8,79,4,0,"Major Cities of Australia"
316011415,7,69,4,0,"Major Cities of Australia"
316011416,5,48,3,0,"Major Cities of Australia"
316021417,5,43,3,0,"Major Cities of Australia"
316021418,7,63,4,0,"Major Cities of Australia"
316021419,2,20,1,0,"Major Cities of Australia"
316021420,6,51,3,0,"Major Cities of Australia"
316021421,6,57,3,0,"Major Cities of Australia"
316021422,6,51,3,0,"Major Cities of Australia"
316021423,6,60,3,0,"Major Cities of Australia"
316021424,6,60,3,0,"Major Cities of Australia"
316031425,6,59,3,0,"Major Cities of Australia"
316031426,6,53,3,0,"Major Cities of Australia"
316031427,4,40,2,0,"Major Cities of Australia"
316031428,6,58,3,0,"Major Cities of Australia"
316051434,8,80,4,0,"Major Cities of Australia"
316051435,7,62,4,0,"Major Cities of Australia"
316051437,8,72,4,0,"Major Cities of Australia"
316051438,4,35,2,0,"Major Cities of Australia"
316051543,8,74,4,0,"Major Cities of Australia"
316051544,8,80,4,0,"Major Cities of Australia"
316061439,4,36,2,1,"Inner Regional Australia"
316061440,6,54,3,1,"Inner Regional Australia"
316061441,5,50,3,1,"Inner Regional Australia"
316061442,5,50,3,1,"Inner Regional Australia"
316061443,6,55,3,1,"Inner Regional Australia"
316061444,7,65,4,1,"Inner Regional Australia"
316071545,6,54,3,0,"Major Cities of Australia"
316071546,7,64,4,0,"Major Cities of Australia"
316071547,6,56,3,1,"Inner Regional Australia"
316071548,3,28,2,0,"Major Cities of Australia"
316081549,6,52,3,1,"Inner Regional Australia"
317011445,7,70,4,1,"Inner Regional Australia"
317011446,4,34,2,1,"Inner Regional Australia"
317011447,2,15,1,1,"Inner Regional Australia"
317011448,2,12,1,1,"Inner Regional Australia"
317011449,6,56,3,1,"Inner Regional Australia"
317011450,9,85,5,1,"Inner Regional Australia"
317011451,5,46,3,1,"Inner Regional Australia"
317011452,9,88,5,1,"Inner Regional Australia"
317011453,2,13,1,1,"Inner Regional Australia"
317011454,2,20,1,1,"Inner Regional Australia"
317011455,8,71,4,1,"Inner Regional Australia"
317011456,4,31,2,1,"Inner Regional Australia"
317011457,8,78,4,1,"Inner Regional Australia"
317011458,6,58,3,1,"Inner Regional Australia"
317011459,2,11,1,1,"Inner Regional Australia"
318011460,2,20,1,2,"Outer Regional Australia"
318011461,4,33,2,2,"Outer Regional Australia"
318011462,2,12,1,2,"Outer Regional Australia"
318011463,4,31,2,3,"Remote Australia"
318011464,2,13,1,2,"Outer Regional Australia"
318011465,4,33,2,2,"Outer Regional Australia"
318011466,1,1,1,3,"Remote Australia"
318021467,3,29,2,2,"Outer Regional Australia"
318021468,9,86,5,2,"Outer Regional Australia"
318021469,7,65,4,2,"Outer Regional Australia"
318021470,8,75,4,2,"Outer Regional Australia"
318021471,2,17,1,2,"Outer Regional Australia"
318021472,4,32,2,2,"Outer Regional Australia"
318021473,6,53,3,2,"Outer Regional Australia"
318021474,9,87,5,2,"Outer Regional Australia"
318021475,2,15,1,2,"Outer Regional Australia"
318021476,2,14,1,2,"Outer Regional Australia"
318021477,1,9,1,2,"Outer Regional Australia"
318021478,4,34,2,2,"Outer Regional Australia"
318021479,3,28,2,2,"Outer Regional Australia"
318021480,3,21,2,2,"Outer Regional Australia"
318021481,2,12,1,2,"Outer Regional Australia"
318021482,6,55,3,2,"Outer Regional Australia"
318021483,3,30,2,2,"Outer Regional Australia"
318021484,7,61,4,2,"Outer Regional Australia"
318021485,5,46,3,2,"Outer Regional Australia"
318021486,4,32,2,2,"Outer Regional Australia"
318021487,8,77,4,2,"Outer Regional Australia"
318021488,4,40,2,2,"Outer Regional Australia"
318021489,5,50,3,2,"Outer Regional Australia"
318021490,8,77,4,2,"Outer Regional Australia"
318021491,3,22,2,2,"Outer Regional Australia"
319011492,2,18,1,1,"Inner Regional Australia"
319011493,4,39,2,1,"Inner Regional Australia"
319011494,4,35,2,1,"Inner Regional Australia"
319011495,1,4,1,1,"Inner Regional Australia"
319011496,3,23,2,1,"Inner Regional Australia"
319011497,2,12,1,1,"Inner Regional Australia"
319011498,3,22,2,1,"Inner Regional Australia"
319011499,2,16,1,1,"Inner Regional Australia"
319011500,2,16,1,1,"Inner Regional Australia"
319011501,1,7,1,1,"Inner Regional Australia"
319011502,1,8,1,1,"Inner Regional Australia"
319021503,2,14,1,2,"Outer Regional Australia"
319021504,1,6,1,2,"Outer Regional Australia"
319021505,2,19,1,1,"Inner Regional Australia"
319021506,1,5,1,2,"Outer Regional Australia"
319021507,4,37,2,1,"Inner Regional Australia"
319021508,2,17,1,2,"Outer Regional Australia"
319021509,1,5,1,1,"Inner Regional Australia"
319021510,NA,NA,NA,2,"Outer Regional Australia"
319031511,1,7,1,1,"Inner Regional Australia"
319031512,1,8,1,1,"Inner Regional Australia"
319031513,2,19,1,1,"Inner Regional Australia"
319031514,3,27,2,1,"Inner Regional Australia"
319031515,2,16,1,2,"Outer Regional Australia"
319041516,3,24,2,1,"Inner Regional Australia"
319041517,6,51,3,1,"Inner Regional Australia"
319041518,2,16,1,1,"Inner Regional Australia"
319041519,2,14,1,1,"Inner Regional Australia"
319041520,1,10,1,1,"Inner Regional Australia"
319041521,3,22,2,1,"Inner Regional Australia"
319051522,1,8,1,1,"Inner Regional Australia"
319051523,1,5,1,1,"Inner Regional Australia"
319051524,1,6,1,1,"Inner Regional Australia"
319051525,1,9,1,1,"Inner Regional Australia"
319051526,4,33,2,1,"Inner Regional Australia"
397979799,NA,NA,NA,NA,""
399999499,NA,NA,NA,NA,""
